Sheet	Column name	Type	Required	Multiple	Valid values	Valid units	Valid ontology terms	Valid ontology libraries	Example	Description	Comment
study	project	text	mandatory	no	IMAGE					state it is an IMAGE project	
study	study id	text	mandatory	no					example IMAGE study	identify the study	
study	study description	text	recommended	no					"It is a fake study which collects pig, sheep, cows sample from 12 countries all over the europe to see which country has the best meat"	"brief introduction of study, could include but not limited to the purpose of the study, experiment design etc"	
study	researcher name	text	mandatory	yes					Peter Harrison; Andrea Caprera	the author list of the study which is separated by ;	
study	researcher contact	text	mandatory	yes					"peter@ebi.ac.uk, 0044-(0)1223492589; andrea.caprera@ptp.it"	"the contact emails of the researchers, separated by ; and should have the same length as the name list"	
study	researcher affiliation	text	mandatory	yes					1;2	"the affiliation list of researchers, each affiliation is represented by numbers. One research can have multiple affiliations which is separated by ,"	
study	Affiliation name	text	mandatory	yes					1. EMBL EBI; 2. PTP		
study	Affiliation address	text	recommended	yes					"1. European Bioinformatics Institute, Wellcome Trust Genome Campus, CB10 1SD, UK; "		
study	Affiliation uri	text	optional	yes					1. www.ebi.ac.uk;		
study	Affiliation country	text	optional	yes					1. United Kingdom; 2. Italy	"the country where the affiliation is based, the controlled vocabulary for countries is from INSDC http://www.insdc.org/documents/country-qualifier-vocabulary"	
study	publication PUBMED	integers	optional	no					1234567890		
study	publication DOI	valid doi	optional	no							
											
ontology library	library name	text	mandatory	no					NCBI Taxonomy		
ontology library	library URI	uri	mandatory	no					https://www.ebi.ac.uk/ols/ontologies/ncbitaxon		
											
breed	breed origin	text	mandatory	no					Bunte Bentheimer		
breed	mapped breed	text	recommended	no					Bentheim Black Pied		
breed	mapped breed ontology library	text	recommended	no					LBO		
breed	mapped breed accession	accession	recommended	no					LBO_0000347		
breed	country	text	mandatory	no					Germany	INSDC list	
breed	photo	uri	recommended	yes							
breed	species	text	mandatory	no					Sus scrofa		
breed	species ontology library	text	mandatory	no					NCBI Taxonomy		
breed	species ontology accession	accession	mandatory	no					NCBITaxon_9823		
											
animal	BioSample ID	text	mandatory	no	SAMEAXXXXXXX						"The BioSample ID could be empty before submitting BioSample. After the submission, the returned BioSample ID MUST be filled"
animal	source animal id	text	mandatory	no					ANIMAL:::ID:::132713		
animal	source name	text	mandatory	no					"""CyroWEB DE"", ""French system"" "	the name of the source of genebank	
animal	source version	date	mandatory	no		YYYY-MM			2017-04		"Record at the month level, if no month available, recorded as Jan of the year"
animal	father BioSampleID	text	optional	no	SAMEAXXXXXXX						
animal	father source id	text	optional	no					ANIMAL:::ID:::541008		
animal	mother BioSampleID	text	optional	no	SAMEAXXXXXXX						
animal	mother source id	text	optional	no					ANIMAL:::ID:::507050		
animal	breed	text	mandatory	no					Bunte Bentheimer	"The breed of the animal, the value of which matches to the breed origin column in the breed sheet"	the species of the animal can be retrieved from breed
animal	birth date	date	recommended	no		"YYYY-MM-DD, YYYY-MM, YYYY"			1990-07-17	The date when the animal was born	"Fill in the date as accurate as possible, at least fill in the year"
animal	birth status	text	optional	no					normal	"The status of the birth, could be premature birth for 2 weeks, normal"	
animal	sex	limited values	mandatory	no	"""male"",""female"""		"""PATO:0000384"",""PATO:0000383"""	PATO	male (PATO:0000384)		could split into two columns
animal	submission date	date	recommended	no		"YYYY-MM-DD, YYYY-MM, YYYY"			2014-01-30		
animal	farm latitude	double	recommended	no		decimal degrees			47.86591		
animal	farm longitude	double	recommended	no		decimal degrees			12.19115		
animal	farm place	text	mandatory	no					Berlin Germany	"the place of the farm, town/city could be optional, country must be there"	
animal	reproduction place	text	optional	no					Germany		
animal	photo	uri	optional	yes							
											
sample	study id	text	mandatory	no					example IMAGE study	must be one of the values used in the study id column in the study sheet	
sample	BioSample id	text	mandatory	no	SAMEAXXXXXXX						"The BioSample ID could be empty before submitting BioSample. After the submission, the returned BioSample ID MUST be filled"
sample	source sample id	text	mandatory	no					Siems_0722_393449		
sample	source name	text	mandatory	no					"""CyroWEB DE"", ""French system"" "	the name of the source of genebank	
sample	source version	date	mandatory	no		YYYY-MM			2017-04		"Record at the month level, if no month available, recorded as Jan of the year"
sample	animal BioSample id	text	mandatory	no							
sample	animal source id	text	mandatory	no					ANIMAL:::ID:::132713		
sample	description	text	recommended	no					Chianina		
sample	protocol	uri	mandatory	no					ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/WUR_SOP_animal_sampling_20160405.pdf	A link to the protocol used to collect this sample	
sample	contact	uri	recommended	yes						Email address or website to contact to obtain the samples. Use the contact details of the registrant.	
sample	collection date	date	mandatory	no		"YYYY-MM-DD, YYYY-MM, YYYY"			1992-01-17	Date when the sample was collected	
sample	collection place latitude	double	recommended	no		decimal degrees			47.86591		
sample	collection place longitude	double	recommended	no		decimal degrees			12.19115		
sample	collection place	text	mandatory	no					Germany		
sample	collection condition	text	optional	no					10ml blood from leg was collected		
sample	storage date	date	recommended	no		"YYYY-MM-DD, YYYY-MM, YYYY"			1992-01-17		
sample	submission date	date	recommended	no		"YYYY-MM-DD, YYYY-MM, YYYY"					
sample	organism part	text	mandatory	no			"UBERON_0001062(include descendants), BTO_0000042(include descendants)"				"is this same as tissue? Ontology for part of organism specimen from, UBERON is preferred to BTO"
sample	developmental stage	text	recommended	no			EFO_0000399(include descendants)				
#sample	sanitary status										
#sample	tissue										
