Sheet	name	type	mandatory	Multiple	valid_values	valid_units	valid_terms	valid_libraries	example	description	comment
study	project	text	mandatory	no	IMAGE				IMAGE	state it is an IMAGE project	
study	study id	text	mandatory	no					example IMAGE study	identify the study	
study	study description	text	recommended	no					"It is a fake study which collects pig, sheep, cows sample from 12 countries all over the europe to see which country has the best meat"	"brief introduction of study, could include but not limited to the purpose of the study, experiment design etc"	
study	researcher last name	text	mandatory	yes					Harrison; Caprera	the last names of the author list of the study which is separated by ;	
study	researcher first name	text	mandatory	yes					Peter; Andrea	the first names of the author list of the study which is separated by ;	
study	researcher contact	text	mandatory	yes					"peter@ebi.ac.uk, 0044-(0)1223492589; andrea.caprera@ptp.it"	"the contact emails of the researchers, separated by ; and should have the same length as the name list"	
study	researcher affiliation	text	mandatory	yes					1;2	"the affiliation list of researchers, each affiliation is represented by numbers. One research can have multiple affiliations which is separated by ,"	
study	Affiliation name	text	mandatory	yes					1. EMBL EBI; 2. PTP		
study	Affiliation address	text	recommended	yes					"1. European Bioinformatics Institute, Wellcome Trust Genome Campus, CB10 1SD, UK; "	the addresses of affiliations	
study	Affiliation uri	text	optional	yes					1. www.ebi.ac.uk;	the websites of affiliations	
study	Affiliation country	text	optional	yes					1. United Kingdom; 2. Italy	"the country where the affiliation is based, the controlled vocabulary for countries is from INSDC http://www.insdc.org/documents/country-qualifier-vocabulary"	
study	Affiliation Role	limited values	mandatory	yes	descendants of EFO_0002012				1. curator;  2. submitter		
study	publication PUBMED	integers	optional	no					25907889	the pubmed ids of publications separated by ;	
study	publication DOI	valid doi	optional	no					10.1111/age.12295		
											
ontology library	library name	text	mandatory	no					NCBI Taxonomy	The name of ontology library	
ontology library	library URI	uri	mandatory	no					https://www.ebi.ac.uk/ols/ontologies/ncbitaxon	The base URI of ontology library	
ontology library	library version	text	recommended	no					"""38.13"" or ""2017-05-03"""	The version of ontology library	
											
breed	breed origin	text	mandatory	no					Bunte Bentheimer	"the breed information contained in the original gene bank, very likely in the local language"	
breed	mapped breed	limited value	recommended	no					Bentheim Black Pied	the closest breed (if not identical) in the ontology library	
breed	mapped breed ontology library	limited value	recommended	no					LBO	the name of the breed ontology used to map	
breed	mapped breed accession	ontology_id	recommended	no			descendants of LBO_0000000		LBO_0000347		
breed	country	limited value	mandatory	no					Germany	"the country where the breed locates, the country name should be in the INSDC list"	
breed	breed photo	uri	recommended	yes					https://c2.staticflickr.com/4/3487/3922570044_cbf481b786_b.jpg	"the photo(s) of the breed, which will be particularly useful if no exact ontology found"	
breed	species	limited value	mandatory	no					Sus scrofa		
breed	species ontology library	limited value	mandatory	no	NCBI Taxonomy				NCBI Taxonomy		
breed	species ontology accession	ontology_id	mandatory	no			descendants of NCBITaxon_1		NCBITaxon_9823		
											
animal	BioSample ID	limited values	mandatory	no	SAMEAXXXXXXX				SAMEA4450079		"The BioSample ID could be empty before submitting BioSample. After the submission, the returned BioSample ID MUST be filled"
animal	name	text	mandatory	no					OAR_RI_AF1	the name of the animal given by the researcher	
animal	source animal id	limited values	mandatory	no					ANIMAL:::ID:::132713	the animal id used in the original gene bank	
animal	source name	text	mandatory	no					"""CyroWEB DE"", ""French system"" "	the name of the original gene bank	
animal	source version	date	mandatory	no		YYYY-MM			2017-04	the version of the snapshot of the original gene bank	"Record at the month level, if no month available, recorded as Jan of the year"
animal	father BioSampleID	limited values	optional	no	SAMEAXXXXXXX						
animal	father source id	text	optional	no					ANIMAL:::ID:::541008		
animal	mother BioSampleID	limited values	optional	no	SAMEAXXXXXXX						
animal	mother source id	text	optional	no					ANIMAL:::ID:::507050		
