Sheet	name	type	mandatory	Multiple	valid_values	valid_units	valid_terms	valid_libraries	example	description
study	Project	text	mandatory	no	IMAGE				IMAGE	state it is an IMAGE project
study	Study id	text	mandatory	no					example IMAGE study	identify the study
study	Study description	text	recommended	no					"It is a fake study which collects pig, sheep, cows sample from 12 countries all over the europe to see which country has the best meat"	"brief introduction of study, could include but not limited to the purpose of the study, experiment design etc"
study	Researcher last name	text	mandatory	yes					Harrison; Caprera	the last names of the author list of the study which is separated by ;
study	Researcher first name	text	mandatory	yes					Peter; Andrea	the first names of the author list of the study which is separated by ;
study	Researcher contact	text	mandatory	yes					"peter@ebi.ac.uk, 0044-(0)1223492589; andrea.caprera@ptp.it"	"the contact emails of the researchers, separated by ; and should have the same length as the name list"
study	Researcher affiliation	text	mandatory	yes					1;2	"the affiliation list of researchers, each affiliation is represented by numbers. One research can have multiple affiliations which is separated by ,"
study	Affiliation name	text	mandatory	yes					1. EMBL EBI; 2. PTP	
study	Affiliation address	text	recommended	yes					"1. European Bioinformatics Institute, Wellcome Trust Genome Campus, CB10 1SD, UK;"	the addresses of affiliations
study	Affiliation uri	text	optional	yes					1. www.ebi.ac.uk;	the websites of affiliations
study	Affiliation country	text	optional	yes					1. United Kingdom; 2. Italy	"the country where the affiliation is based, the controlled vocabulary for countries is from INSDC http://www.insdc.org/documents/country-qualifier-vocabulary"
study	Affiliation Role	limited values	mandatory	yes	descendants of EFO_0002012				1. curator; 2. submitter	
study	Publication PUBMED	integers	optional	no					25907889	the pubmed ids of publications separated by ;
study	Publication DOI	valid doi	optional	no					10.1111/age.12295	
										
ontology library	Library name	text	mandatory	no					NCBI Taxonomy	The name of ontology library
ontology library	Library URI	uri	mandatory	no					https://www.ebi.ac.uk/ols/ontologies/ncbitaxon	The base URI of ontology library
ontology library	Library version	text	recommended	no					"""38.13"" or ""2017-05-03"""	The version of ontology library
										
breed	Original breed	text	mandatory	no					Bunte Bentheimer	"the breed information contained in the original gene bank, very likely in the local language"
breed	Mapped breed	limited value	recommended	no					Bentheim Black Pied	the closest breed (if not identical) in the ontology library
breed	Mapped breed ontology library	limited value	recommended	no					LBO	the name of the breed ontology used to map
breed	Mapped breed ontology id	ontology_id	recommended	no			descendants of LBO_0000000		LBO_0000347	
breed	Country	limited value	mandatory	no					Germany	"the country where the breed locates, the country name should be in the INSDC list"
breed	Breed photo	uri	recommended	yes					https://c2.staticflickr.com/4/3487/3922570044_cbf481b786_b.jpg	"the photo(s) of the breed, which will be particularly useful if no exact ontology found"
breed	Species	limited value	mandatory	no					Sus scrofa	
breed	Species ontology library	limited value	mandatory	no	NCBI Taxonomy				NCBI Taxonomy	
breed	Species ontology accession	ontology_id	mandatory	no			descendants of NCBITaxon_1		NCBITaxon_9823	
										
animal	BioSample ID	limited values	mandatory	no	SAMEAXXXXXXX				SAMEA4450079	
animal	Animal name	text	mandatory	no					"OAR_RI_AF1, ANIMAL:::ID:::132713"	the name of the animal given by the researcher/farmer
animal	Data source animal id	limited values	mandatory	no					11	the animal id used in the original gene bank
animal	Data source name	text	mandatory	no					"""CyroWEB DE"", ""French system"""	the name of the original gene bank
animal	Data source version	date	mandatory	no		YYYY-MM			2017-04	the version of the snapshot of the original gene bank
animal	Father BioSampleID	limited values	optional	no	SAMEAXXXXXXX					
animal	Father id in data source	text	optional	no					9	
animal	Mother BioSampleID	limited values	optional	no	SAMEAXXXXXXX					
animal	Mother id in data source	text	optional	no					10	
animal	Type	ontology_id	mandatory	no	organism		OBI_0100026		OBI_0100026 (organism)	indicating the record is about an animal
