Rulegroup	Name	Type	Required?	Allow Multiple?	Valid values	Valid units	Valid terms	Example	Description	comment
standard	Project	text	mandatory	no	"""IMAGE"""	-	-	IMAGE	"All samples are stated to be part of the ""IMAGE"" project"	
standard	Submission title	text	mandatory	no	-	-	-	German National Sperm Bank	A descriptive title for the submission	
standard	Submission description	text	recommended	no	-	-	-	"A collection of pig, sheep and cow samples collected to assess quality of meat products"	A brief description of the submission	
standard	Sample description	text	optional	no	-	-	-	Pig sperm sample from 3 year old duroc	A brief description of the sample	
standard	Material	ontology_id	mandatory	no	"""Organism"",""Specimen from organism"""	-	"OBI_0100026,OBI_0001479"	Specimen from Organism		
standard	Person last name	text	mandatory	yes	-	-	-	Harrison; Fan	the last names of the author list of the study which is separated by ;	
standard	Person initial	text	optional	yes	-	-	-	W		"One person can have multiple initials, make sure to group together as string"
standard	Person first name	text	recommended	yes	-	-	-	Peter; Jun	the first names of the author list of the study which is separated by ;	
standard	Person email	uri_value	mandatory	yes	-	-	-	mailto:peter@ebi.ac.uk; mailto:junf@ebi.ac.uk	"the contact emails of the researchers, separated by ; and should have the same length as the name list"	
standard	Person affiliation	text	mandatory	yes	-	-	-	EMBL-EBI; EMBL-EBI	"the affiliation list of persons. One person can have multiple affiliations which is separated by ,"	"One person can have multiple affilations, make sure to group together as string"
standard	Person role	text	mandatory	yes	-	-	"descendants of ""EFO_0002012"""	Submitter		
standard	Organisation name	text	mandatory	yes	-	-	-	EMBL-EBI		
standard	Organisation address	text	recommended	yes	-	-	-	"European Bioinformatics Institute, Wellcome Trust Genome Campus, CB10 1SD, UK"	the addresses of affiliations	
standard	Organisation uri	uri_value	optional	yes	-	-	-	www.ebi.ac.uk	the websites of affiliations	
standard	Organisation country	text	recommended	yes	-	-	-	United Kingdom	"the country where the affiliation is based, the controlled vocabulary for countries is from INSDC http://www.insdc.org/documents/country-qualifier-vocabulary"	
standard	Organisation role	ontology_id	mandatory	yes	-	-	"descendants of ""EFO_0002012"""	Submitter		
standard	Availability	uri_value	mandatory	no	-	-	-	mailto:vdc-internal@ebi.ac.uk	"Either a link to a web page giving information on sample availability (who to contact and if the sample is available), or a e-mail address to contact about availability. E-mail addresses should be prefixed with 'mailto:', e.g. 'mailto:samples@example.ac.uk'. In either case, long term support of the web page or e-mail address is necessary. Group e-mail addresses are preferable to indiviudal."	
standard	Publication DOI	doi	optional	no	-	-	-	"""doi://10.1139/o09-005"""		
standard	Data source name	text	mandatory	no	-	-	-	"""CyroWEB DE"", ""French system"""	the name of the source of genebank	
standard	Data source version	text	recommended	no	-	-	-	"""2017-04"", ""version 1.1"""		"Record at the month level, if no month available, recorded as Jan of the year"
organism	conditions: Material:Organism									
organism	BioSample ID	limited values	mandatory	no	-	-	-	SAMEA4450079		"The BioSample ID could be empty before submitting BioSample. After the submission, the returned BioSample ID MUST be filled"
organism	Animal name	text	mandatory	no	-	-	-	"OAR_RI_AF1, ANIMAL:::ID:::132713"	the name of the animal given by the researcher/farmer	
organism	Alternative animal ID	limited values	recommended	no	-	-	-	11	the animal id used in the original data source	
organism	Derived from	BioSample ID or Animal name	optional	max 2	-	-	-		Father and/or Mothers alternative animal ID or BioSamples ID	
organism	Derived from alternative animal IDs	limited values	recommended	max 2						
organism	Species	ontology_id	mandatory	no	-	-	"descendants of ""NCBITaxon_1"""	Sus scrofa		
organism	Supplied breed	text	mandatory	no	-	-	-	Bunte Bentheimer	"the breed information contained in the original gene bank, very likely in the local language"	
organism	EFABIS Breed country	text	mandatory	no	-	-	-	Germany	"the country where the breed locates, the country name should be in the INSDC list"	
organism	Mapped breed	ontology_id	recommended	no	-	-	"descendants of ""LBO_0000000"""	LBO_0000347	the closest breed (if not identical) in the ontology library	
organism	Sex	ontology_id	mandatory	no	-	-	"""PATO:0000384"",""PATO:0000383"""	PATO:0000384 (male)		
organism	Birth location	text	recommended	no	-	-	-	Germany	name of the place where the animal was given birth	
organism	Birth location longitude	number	recommended	no	-	decimal degrees	-			
organism	Birth location latitude	number	recommended	no	-	decimal degrees	-			
organism	Health status	ontology_id	recommended	yes	-	-	"PATO_0000461, descendants of EFO_0000408"			
specimen from organism	conditions: Material:Specimen from Organism									
specimen from organism	BioSample id	limited value	mandatory	no	SAMEAXXXXXXX			SAMEA4450075	The BioSample id of the sample	"The BioSample ID could be empty before submitting BioSample. After the submission, the returned BioSample ID MUST be filled"
specimen from organism	Alternative id	limited value	mandatory	no				Siems_0722_393449		
specimen from organism	Derived from	text	mandatory	no				SAMEA4450079	The BioSample id of the animal where the sample was collected from	
specimen from organism	Sample name	text	mandatory	no				OAR_RI_AF1_AA		
specimen from organism	Specimen collection protocol	uri	mandatory	no				ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/WUR_SOP_animal_sampling_20160405.pdf	A link to the protocol used to collect this sample	
specimen from organism	Collection date	date	mandatory	no		"YYYY-MM-DD, YYYY-MM, YYYY"		17/01/1992	Date when the sample was collected	
specimen from organism	Collection place latitude	number	recommended	no		decimal degrees		47.86591		
specimen from organism	Collection place longitude	number	recommended	no		decimal degrees		12.19115		
specimen from organism	Collection place	text	mandatory	no				Germany		
specimen from organism	Storage date	date	recommended	no		"YYYY-MM-DD, YYYY-MM, YYYY"		17/01/1992		
specimen from organism	Collection date	date	recommended	no		"YYYY-MM-DD, YYYY-MM, YYYY"		18/01/1992		
specimen from organism	Organism part	ontology_id	mandatory	no			"UBERON_0001062(include descendants), BTO_0000042(include descendants)"	UBERON_0001968 (semen)	"Ontology for part of organism specimen from, UBERON is preferred to BTO"	
specimen from organism	Developmental stage	ontology_id	recommended	no			descendants of EFO_0000399	EFO_0001272 (Adult)	"developmental stage, any child term of EFO_0000399"	
specimen from organism	Health status at collection	ontology_id	recommended	yes			"PATO_0000461, descendants of EFO_0000408"	PATO_0000461 (normal)	"animal disease / health status at point of collection. Healthy animals should have the term normal, otherwise use the as many disease terms as necessary from EFO"	
specimen from organism	Animal age at collection	number	optional	no						
specimen from organism	Specimen volume	number	optional	no						
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
