Rulegroup	Name	Type	Required	Allow Multiple	Valid values	Valid units	Valid terms	Example	Description
standard	Data source ID	text	mandatory	no				"SAMEA4450075, ANIMAL:::ID:::132713,SAMPLE:::ID:::19483"	the id used in the original data source to identify the record
standard	Alternative id	limited value	mandatory	no				Siems_0722_393449	"the other identifier used in the orignal data source, e.g. accession, secondary id etc."
standard	Description	text	optional	no				Pig sperm sample from 3 year old duroc	A brief description of the sample
standard	Project	text	mandatory	no	"""IMAGE"""			IMAGE	"All samples are stated to be part of the ""IMAGE"" project, while still belonging to each individual gene bank. This tag is required to identify them in public databases"
standard	Submission title	text	mandatory	no				German National Sperm Bank	A descriptive title for the submission
standard	Submission description	text	recommended	no				A collection of cattle samples from local breeding stocks	A brief description of the submission
standard	Material	ontology_id	mandatory	no	"""Organism"",""Specimen from organism"""		"""OBI_0100026"",""OBI_0001479"""	Specimen from Organism	"type of the sample, either animal(organism) or sample (specimen from organism)"
standard	Person last name	text	mandatory	yes				Harrison	"the last name of the submitter or contact for these samples, multiple persons can be provided"
standard	Person initial	text	optional	yes				W	"the initial of the submitter or contact for these samples, multiple persons can be provided"
standard	Person first name	text	recommended	yes				Peter	"the first name of the submitter or contact for these samples, multiple persons can be provided"
standard	Person email	uri_value	mandatory	yes				mailto:peter@ebi.ac.uk	email of contact person
standard	Person affiliation	text	mandatory	yes				EMBL-EBI	affiliation of person
standard	Person role	text	mandatory	yes			"descendants of ""EFO_0002012"""	Submitter	the role (type of the contribution) made by the person
standard	Organization name	text	mandatory	yes				EMBL-EBI	"Organization name, multiple can be supplied, but at least one must be the name of the gene bank"
standard	Organization address	text	recommended	yes				"European Bioinformatics Institute, Wellcome Trust Genome Campus, CB10 1SD, UK"	"The address of the organisation, multiple can be supplied"
standard	Organization uri	uri_value	optional	yes				www.ebi.ac.uk	"the websites of orgnization, multiple can be supplied"
standard	Organization country	text	recommended	yes	the controlled vocabulary for countries is from INSDC http://www.insdc.org/documents/country-qualifier-vocabulary			United Kingdom	"Country in which organization resides, the controlled vocabulary for countries is from INSDC http://www.insdc.org/documents/country-qualifier-vocabulary"
standard	Organization role	ontology_id	mandatory	yes			"descendants of ""EFO_0002012"""	Submitter	"the role of the organization, e.g. biobank, funder"
standard	Publication DOI	doi	optional	no				"""doi://10.1139/o09-005"""	"Publication associated with sample, supplied as the digital object identifier which can unambiguously point to the publication"
standard	Gene bank name	text	mandatory	no				"""CryoWeb"""	"The name of the gene bank that the data of this submission belongs to, ideally use the value stored in EUGENA"
standard	Gene bank country	limited value	mandatory	no				"""Italy"""	"Country in which the gene bank resides, particularly important when different countries use the same database infrastructure, e.g. CryoWeb. The controlled vocabulary for countries is from INSDC http://www.insdc.org/documents/country-qualifier-vocabulary"
standard	Data source type	limited value	mandatory	no	"""CyroWeb"", ""CRB-Anim"",""Template"""			"""CryoWeb"""	the type of the data source the current Inject tool can handle
standard	Data source version	text	mandatory	no				"""2018-04-27"", ""version 1.5"""	"the version of the data source, suggested to be either the dump date or the version number used by the source"
standard	Species	ontology_id	mandatory	no			"descendants of ""NCBITaxon_1"""	Sus scrofa	the species of the sample record
organism	conditions: Material:Organism								
organism	Child of	BioSample ID or Alternative animal ID	optional	max 2				SAMEA4450075 or 11	Father and/or Mother's animal ID whose record must also be present as part of the subission or BioSamples ID if sample has been previously submitted
organism	Supplied breed	text	mandatory	no				Bunte Bentheimer	"the breed information contained in the original data source, could be a local language or breed variation"
organism	EFABIS Breed country	text	mandatory	no				Germany	"the country where the breed locates, the country name should be in the INSDC list"
organism	Mapped breed	ontology_id	recommended	no			"descendants of ""LBO_0000000"""	LBO_0000347	"If possible breed will be mapped to a standardised breed ontology, both supplied and mapped breed will be available to end users"
organism	Sex	ontology_id	mandatory	no			"""PATO:0000384"",""PATO:0000383"""	PATO:0000384 (male)	the sex of the animal
organism	Birth location	text	recommended	no				Germany	name of the place where the animal was given birth
organism	Birth location longitude	number	recommended	no		decimal degrees		47.86591	the longitude of the place where the animal was given birth in decimal degrees
organism	Birth location latitude	number	recommended	no		decimal degrees		12.19115	the latitude of the place where the animal was given birth in decimal degrees
organism	Birth location accuracy	limited value	mandatory	no	"""missing geographic information"",""country level"",""region level"",""subregion level"",""precise coordinates"",""unknown accuracy level"""				
specimen from organism	conditions: Material:Specimen from Organism								
specimen from organism	Derived from	text	mandatory	no				SAMEA4450079	The data source id or alternative id of the animal from which the sample was collected
specimen from organism	Specimen collection protocol	uri	recommended	no				ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/WUR_SOP_animal_sampling_20160405.pdf	A URL link to the protocol used to collect this sample
specimen from organism	Collection date	date	mandatory	no		"YYYY-MM-DD, YYYY-MM, YYYY"		1992-01-17	Date when the sample was collected
specimen from organism	Collection place latitude	number	recommended	no		decimal degrees		47.86591	latitude of the place where the sample was collected
specimen from organism	Collection place longitude	number	recommended	no		decimal degrees		12.19115	longitude of the place where the sample was collected
specimen from organism	Collection place	text	mandatory	no				Germany	name of the place where the sample was collected
specimen from organism	Collection place accuracy	limited value	mandatory	no	"""missing geographic information"",""country level"",""region level"",""subregion level"",""precise coordinates"",""unknown accuracy level"""				
specimen from organism	Organism part	ontology_id	mandatory	no			descendants of UBERON_0001062	UBERON_0001968 (semen)	Ontology for organism part where the specimen was taken from
specimen from organism	Developmental stage	ontology_id	recommended	no			descendants of EFO_0000399	EFO_0001272 (adult)	developmental stage of the animal from which the specimen is collected
specimen from organism	Physiological stage	ontology_id	recommended	no			descendants of PATO_0000261	PATO_0001701 (mature)	physiological stage of the animal from which the specimen is collected
specimen from organism	Animal age at collection	number	optional	no				3 years	Animal age at the point of collection.
specimen from organism	Availability	uri_value or text	recommended	no	"""no longer available"",""mailto:a.valid@email"""			mailto:vdc-internal@ebi.ac.uk	"Either an e-mail address to contact about availability or a link to a web page giving information on who to contact. E-mail addresses should be prefixed with 'mailto:', e.g. 'mailto:samples@example.ac.uk'. In either case, long term support of the web page or e-mail address is necessary. Group e-mail addresses are preferable to indiviudal accounts."
specimen from organism	Sample storage	text	recommended	no	"""ambient temperature"",""cut slide"",""frozen, -80 degrees Celsius freezer"",""frozen, -20 degrees Celsius freezer"",""frozen, liquid nitrogen"",""frozen, vapor phase"",""paraffin block"",""RNAlater, frozen -20 degrees Celsius"",""TRIzol, frozen"",""paraffin block at ambient temperatures (+15 to +30 degrees Celsius)"",""freeze dried"""				"How the sample was stored. Temperatures are in degree Celsius. 'Frozen, vapor phase' refers to storing samples above liquid nitrogen in the vapor"
specimen from organism	Sample storage processing	text	recommended	no	"""cryopreservation in liquid nitrogen (dead tissue)"",""cryopreservation in dry ice (dead tissue)"",""cryopreservation of live cells in liquid nitrogen"",""cryopreservation, other"",""formalin fixed, unbuffered"",""formalin fixed, buffered"",""formalin fixed and paraffin embedded"",""freeze dried (vaiable for reproduction)"",""freeze dried"""				How the sample was prepared for storage
specimen from organism	Sampling to preparation interval	number	optional	no		"""minutes"",""hours"",""days"",""weeks"",""months"",""years"",""minute"",""hour"",""day"",""week"",""month"",""year"""			"How long between the sample being taken and the assay experiment preperations commencing. If sample preperations were then left in intermediate stages after preperation commenced, for example as sheared chromatin, then this should be made clear in your protocols"
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
