Rulegroup	Name	Type	Required	Allow Multiple	Valid values	Valid units	Valid terms	Example	Description
standard	BioSample id	limited value	mandatory	no	SAMEAXXXXXXX			SAMEA4450075	"The BioSample id of the sample, automatically generated when sample is registered with IMAGE"
standard	Project	text	mandatory	no	"""IMAGE"""			IMAGE	"All samples are stated to be part of the ""IMAGE"" project, helps identify them in public databases"
standard	Submission title	text	mandatory	no				German National Sperm Bank	A descriptive title for the submission
standard	Submission description	text	recommended	no				A collection of cattle samples from local breeding stocks	A brief description of the submission
standard	Sample description	text	optional	no				Pig sperm sample from 3 year old duroc	A brief description of the sample
standard	Material	ontology_id	mandatory	no	"""Organism"",""Specimen from organism"""		"""OBI_0100026"",""OBI_0001479"""	Specimen from Organism	"type of the sample, either animal(organism) or sample (specimen from organism)"
standard	Person last name	text	mandatory	yes				Harrison	"the last name of the submitter or contact for these samples, multiple persons can be provided"
standard	Person initial	text	optional	yes				W	"the initial of the submitter or contact for these samples, multiple persons can be provided"
standard	Person first name	text	recommended	yes				Peter	"the first name of the submitter or contact for these samples, multiple persons can be provided"
standard	Person email	uri_value	mandatory	yes				mailto:peter@ebi.ac.uk	email of contact person
standard	Person affiliation	text	mandatory	yes				EMBL-EBI	affiliation of person
standard	Person role	text	mandatory	yes			"descendants of ""EFO_0002012"""	Submitter	the role (type of the contribution) made by the person
standard	Organization name	text	mandatory	yes				EMBL-EBI	"Organization name, multiple can be supplied"
standard	Organization address	text	recommended	yes				"European Bioinformatics Institute, Wellcome Trust Genome Campus, CB10 1SD, UK"	"The address of the organisation, multiple can be supplied"
standard	Organization uri	uri_value	optional	yes				www.ebi.ac.uk	"the websites of orgnization, multiple can be supplied"
standard	Organization country	text	recommended	yes	the controlled vocabulary for countries is from INSDC http://www.insdc.org/documents/country-qualifier-vocabulary			United Kingdom	"Country in which organization resides, the controlled vocabulary for countries is from INSDC http://www.insdc.org/documents/country-qualifier-vocabulary"
standard	Organization role	ontology_id	mandatory	yes			"descendants of ""EFO_0002012"""	Submitter	"the role of the organization, e.g. biobank, funder"
standard	Publication DOI	doi	optional	no				"""doi://10.1139/o09-005"""	"Publication associated with sample, supplied as the digital object identifier which can unambiguously point to the publication"
standard	Data source name	text	mandatory	no				"""CyroWEB DE"", ""French system"""	the name of the genebank source type
standard	Data source version	text	recommended	no				"""2017-04"", ""version 1.1"""	the version of the genebanks storage software
organism	conditions: Material:Organism								
organism	Animal data source ID	text	mandatory	no				"OAR_RI_AF1, ANIMAL:::ID:::132713"	the animal id used in the original data source
organism	Alternative animal ID	limited values	recommended	no				11	"Additional information which could help to identify the animal in the data source, e.g. animal unique name, secondary ID, accession etc."
organism	Derived from	BioSample ID or Alternative animal ID	optional	max 2				SAMEA4450075 or 11	Father and/or Mother's animal ID whose record must also be present as part of the subission or BioSamples ID if sample has been previously submitted
organism	Species	ontology_id	mandatory	no			"descendants of ""NCBITaxon_1"""	Sus scrofa	the species of the animal
organism	Supplied breed	text	mandatory	no				Bunte Bentheimer	"the breed information contained in the original data source, could be a local language or breed variation"
organism	EFABIS Breed country	text	mandatory	no				Germany	"the country where the breed locates, the country name should be in the INSDC list"
organism	Mapped breed	ontology_id	recommended	no			"descendants of ""LBO_0000000"""	LBO_0000347	"If possible breed will be mapped to a standardised breed ontology, both supplied and mapped breed will be available to end users"
organism	Sex	ontology_id	mandatory	no			"""PATO:0000384"",""PATO:0000383"""	PATO:0000384 (male)	the sex of the animal
organism	Birth location	text	recommended	no				Germany	name of the place where the animal was given birth
organism	Birth location longitude	number	recommended	no		decimal degrees		47.86591	the longitude of the place where the animal was given birth in decimal degrees
organism	Birth location latitude	number	recommended	no		decimal degrees		12.19115	the latitude of the place where the animal was given birth in decimal degrees
specimen from organism	conditions: Material:Specimen from Organism								
specimen from organism	Alternative id	limited value	mandatory	no				Siems_0722_393449	"the sample id used in the original data source, unique and identifiable within the submitting gene bank"
